property_type,state_name,place_name_clean,surface_total_m2_clean,price_usd_per_m2_clean,rooms_clean,keyword_category
house,Bs.As. G.B.A. Zona Norte,Barrio San Agustin,205.0,1048.78,5.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,59.0,2525.42,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Enyoi,67.0,2955.22,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Barrio San Rafael,196.0,1418.37,4.0,low
house,Bs.As. G.B.A. Zona Norte,Tigre,230.0,1195.65,3.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,70.0,2885.71,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Barrio Las Glorietas,255.0,1725.49,4.0,low
house,Bs.As. G.B.A. Zona Norte,Tigre,192.0,1406.25,4.0,medium
apartment,Capital Federal,Palermo,45.0,2333.33,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,96.0,2253.12,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Vicente López,65.0,2153.85,3.0,low
house,Santa Fe,Santa Fe,200.0,1750.0,5.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,131.0,3053.44,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,63.0,2400.0,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,63.0,2400.0,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,62.0,2338.71,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,63.0,2400.0,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,63.0,2400.0,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,160.0,2400.0,4.0,high
house,Buenos Aires Costa Atlántica,Villa Gesell,200.0,500.0,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,110.0,2545.45,3.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,188.0,1170.21,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,41.0,2292.68,1.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,81.0,2222.22,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,94.0,2393.62,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,63.0,2400.0,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,62.0,2300.0,2.0,medium
apartment,Capital Federal,Barrio Norte,272.0,2830.88,4.0,medium
apartment,Capital Federal,Recoleta,26.0,2807.69,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,80.0,2575.0,3.0,medium
house,Santa Fe,Funes,90.0,1152.83,3.0,low
apartment,Capital Federal,Barrio Norte,115.0,2347.83,5.0,low
house,Santa Fe,Roldán,106.0,1745.28,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Pilar,34.0,1382.35,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Santa Barbara Barrio Cerrado,344.0,1860.47,3.0,medium
apartment,Capital Federal,Almagro,45.0,2066.67,1.0,high
house,Santa Fe,Funes,98.0,2653.06,4.0,low
apartment,Capital Federal,Recoleta,132.0,5799.49,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,79.0,1696.2,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Tigre,133.0,1879.7,3.0,high
house,Bs.As. G.B.A. Zona Norte,San Martín,374.0,352.94,4.0,medium
apartment,Santa Fe,Rosario,300.0,1133.33,4.0,low
apartment,Capital Federal,Palermo,24.0,3083.33,1.0,low
apartment,Capital Federal,Recoleta,208.0,6037.38,4.0,medium
house,Bs.As. G.B.A. Zona Norte,Golfer's Country Club,224.0,1250.0,2.0,low
apartment,Capital Federal,Recoleta,71.0,5801.58,2.0,medium
apartment,Capital Federal,Recoleta,104.0,5792.23,3.0,medium
PH,Bs.As. G.B.A. Zona Oeste,Villa Madero,150.0,600.0,4.0,low
apartment,Capital Federal,Flores,74.0,2283.78,4.0,low
store,Santa Fe,Rosario,150.0,3000.0,1.0,low
apartment,Capital Federal,Retiro,140.0,1964.29,5.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,87.0,2591.68,2.0,high
apartment,Capital Federal,Recoleta,97.0,5063.74,3.0,medium
apartment,Capital Federal,Belgrano,34.0,3500.0,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,87.0,2661.7,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Vicente López,332.0,3463.86,4.0,high
apartment,Capital Federal,Las Cañitas,112.0,4508.93,3.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,87.0,3644.32,2.0,high
apartment,Capital Federal,Recoleta,132.0,5559.3,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,87.0,3644.32,2.0,high
apartment,Capital Federal,Recoleta,152.0,5806.39,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Martín,200.0,700.0,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,169.0,3846.15,3.0,high
apartment,Capital Federal,Palermo Viejo,68.0,2485.29,3.0,medium
apartment,Capital Federal,Villa Luro,47.0,1808.51,3.0,low
apartment,Capital Federal,Recoleta,330.0,4848.48,4.0,medium
apartment,Capital Federal,Boca,38.0,1684.21,2.0,low
apartment,Capital Federal,Palermo,95.0,3105.26,4.0,low
apartment,Capital Federal,Belgrano,110.0,4818.18,3.0,low
apartment,Capital Federal,Almagro,20.0,2475.0,1.0,low
PH,Bs.As. G.B.A. Zona Norte,San Martín,200.0,700.0,4.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Villa Madero,55.0,963.64,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Villa Madero,60.0,1083.33,4.0,low
apartment,Capital Federal,Almagro,68.0,2779.41,3.0,medium
house,Bs.As. G.B.A. Zona Oeste,Villa Madero,207.0,724.64,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Lomas del Mirador,96.0,1354.17,3.0,low
apartment,Capital Federal,Palermo Soho,125.0,2120.0,3.0,medium
apartment,Capital Federal,Flores,79.0,1265.82,4.0,low
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,233.0,643.78,4.0,low
apartment,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,50.0,2300.0,2.0,low
apartment,Capital Federal,Monserrat,49.0,1775.51,2.0,low
apartment,Capital Federal,Villa Urquiza,84.0,2857.14,4.0,low
apartment,Capital Federal,Almagro,70.0,2028.57,3.0,low
apartment,Capital Federal,Boedo,70.0,1928.57,4.0,low
house,Bs.As. G.B.A. Zona Oeste,Moreno,64.0,1015.62,3.0,medium
apartment,Capital Federal,Palermo Soho,125.0,2064.0,3.0,medium
apartment,Bs.As. G.B.A. Zona Oeste,Ramos Mejía,60.0,2583.33,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Ramos Mejía,40.0,1950.0,2.0,medium
apartment,Bs.As. G.B.A. Zona Oeste,Ramos Mejía,50.0,1640.0,2.0,medium
apartment,Entre Ríos,Paraná,75.0,1645.12,2.0,low
house,Bs.As. G.B.A. Zona Oeste,Haedo,124.0,1733.87,2.0,medium
house,Bs.As. G.B.A. Zona Sur,Temperley,90.0,1722.22,4.0,medium
apartment,Bs.As. G.B.A. Zona Oeste,La Matanza,33.0,1451.52,1.0,low
house,Bs.As. G.B.A. Zona Oeste,Haedo,150.0,1000.0,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,90.0,1722.22,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,330.0,400.0,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,40.0,2897.5,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,39.0,2256.41,2.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,26.0,2211.54,1.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,36.0,2361.11,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,79.0,2025.32,3.0,low
apartment,Buenos Aires Costa Atlántica,Valeria del Mar,58.0,2232.76,2.0,low
apartment,Buenos Aires Costa Atlántica,Pinamar,77.0,2142.86,4.0,high
apartment,Buenos Aires Costa Atlántica,Pinamar,53.0,2547.17,2.0,high
apartment,Misiones,Posadas,40.0,1121.67,2.0,low
apartment,Misiones,Posadas,69.0,1674.38,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,48.0,2122.92,2.0,low
apartment,Capital Federal,Flores,78.0,1897.44,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,330.0,257.58,3.0,low
PH,Buenos Aires Costa Atlántica,Mar del Plata,55.0,1454.55,2.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,120.0,1208.33,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,38.0,1447.37,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,54.0,1648.15,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,92.0,2200.0,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,106.0,2500.0,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,110.0,2900.0,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,47.0,2404.26,2.0,medium
house,Buenos Aires Costa Atlántica,Mar del Plata,230.0,956.52,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,50.0,2300.0,2.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,130.0,984.62,3.0,medium
apartment,Buenos Aires Interior,Bahía Blanca,68.0,1102.94,4.0,low
apartment,Buenos Aires Interior,Bahía Blanca,43.0,1825.98,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,199.0,1708.54,3.0,medium
house,Buenos Aires Costa Atlántica,Mar del Plata,190.0,1526.32,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,190.0,3263.16,4.0,medium
house,Buenos Aires Costa Atlántica,Villa Gesell,60.0,1333.33,3.0,low
house,Buenos Aires Costa Atlántica,Pinamar,318.0,738.99,5.0,low
PH,Capital Federal,Barracas,110.0,1136.36,4.0,low
apartment,Capital Federal,Congreso,102.0,1519.61,4.0,low
apartment,Capital Federal,Boedo,70.0,1928.57,4.0,low
house,Bs.As. G.B.A. Zona Norte,San Isidro,370.0,1243.24,5.0,low
apartment,Bs.As. G.B.A. Zona Oeste,La Tablada,200.0,1000.0,5.0,low
house,Bs.As. G.B.A. Zona Norte,Boulogne Sur Mer,200.0,550.0,4.0,low
house,Capital Federal,Capital Federal,170.0,1558.82,4.0,medium
house,Bs.As. G.B.A. Zona Norte,Martínez,233.0,987.12,3.0,low
apartment,Capital Federal,Capital Federal,76.0,3157.89,3.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,52.0,1605.77,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,75.0,3130.4,3.0,high
apartment,Capital Federal,Capital Federal,64.0,1796.88,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Tigre,45.0,2333.33,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Tigre,64.0,2109.38,2.0,high
apartment,Capital Federal,Villa Urquiza,59.0,2101.69,2.0,low
apartment,Capital Federal,Villa Urquiza,55.0,1963.64,2.0,low
apartment,Capital Federal,Villa Urquiza,78.0,1956.41,3.0,low
house,Bs.As. G.B.A. Zona Norte,Rincón de Milberg,300.0,600.0,1.0,low
apartment,Capital Federal,Capital Federal,208.0,2500.0,4.0,high
house,Bs.As. G.B.A. Zona Norte,La Lucila,141.0,2056.74,3.0,medium
house,Capital Federal,Villa Lugano,161.0,1173.91,3.0,medium
apartment,Capital Federal,Recoleta,199.0,2361.81,3.0,medium
apartment,Capital Federal,Puerto Madero,67.0,5358.21,2.0,medium
store,Capital Federal,San Telmo,180.0,2500.0,1.0,low
apartment,Capital Federal,Palermo Chico,107.0,3831.78,3.0,low
apartment,Capital Federal,Barrio Norte,350.0,1985.71,6.0,low
apartment,Capital Federal,Villa Crespo,34.0,2294.12,1.0,low
apartment,Capital Federal,Barrio Norte,24.0,2708.33,1.0,low
house,Bs.As. G.B.A. Zona Norte,Altos de Manzanares 1 y 2,160.0,1156.25,2.0,low
house,Bs.As. G.B.A. Zona Norte,Munro,180.0,777.78,3.0,low
apartment,Capital Federal,Barrio Norte,206.0,2766.99,6.0,medium
apartment,Capital Federal,Retiro,206.0,2766.99,6.0,medium
apartment,Capital Federal,Palermo,225.0,5111.11,4.0,low
apartment,Capital Federal,Palermo,56.0,5883.93,2.0,low
apartment,Capital Federal,Belgrano,112.0,2544.64,4.0,high
house,Bs.As. G.B.A. Zona Norte,Nordelta,229.0,1724.89,4.0,low
apartment,Capital Federal,Caballito,159.0,2169.81,4.0,medium
apartment,Capital Federal,Recoleta,125.0,2392.0,3.0,low
PH,Capital Federal,Caballito,120.0,1791.67,3.0,medium
apartment,Capital Federal,Flores,75.0,2120.0,3.0,low
store,Capital Federal,Flores,50.0,2800.0,1.0,low
house,Bs.As. G.B.A. Zona Norte,Barrio San Rafael,220.0,1590.91,4.0,low
apartment,Capital Federal,Villa Devoto,58.0,2215.52,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Pilar Golf Country Club,40.0,3000.0,1.0,low
store,Bs.As. G.B.A. Zona Norte,San Martín,25.0,1200.0,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Martín,25.0,1200.0,1.0,low
apartment,Capital Federal,Recoleta,145.0,1510.34,3.0,medium
apartment,Capital Federal,Flores,88.0,1414.77,3.0,low
apartment,Capital Federal,Puerto Madero,37.0,4594.59,1.0,medium
PH,Córdoba,Villa Carlos Paz,80.0,1050.0,3.0,medium
apartment,Capital Federal,Las Cañitas,98.0,4897.96,3.0,high
house,Córdoba,Villa Santa Cruz del Lago,80.0,1187.5,4.0,low
apartment,Bs.As. G.B.A. Zona Sur,Fincas de Iraola,64.0,2187.5,2.0,medium
apartment,Capital Federal,Retiro,262.0,3435.11,7.0,medium
apartment,Bs.As. G.B.A. Zona Sur,Fincas de Iraola,87.0,1839.08,3.0,medium
apartment,Bs.As. G.B.A. Zona Sur,Fincas de Iraola,87.0,1839.08,3.0,medium
apartment,Bs.As. G.B.A. Zona Sur,Fincas de Iraola,64.0,2187.5,2.0,medium
house,Córdoba,Villa Carlos Paz,100.0,1050.0,2.0,medium
apartment,Capital Federal,Puerto Madero,52.0,5192.31,2.0,high
apartment,Bs.As. G.B.A. Zona Sur,Fincas de Iraola,117.0,1709.4,3.0,medium
house,Córdoba,San Antonio de Arredondo,250.0,1400.0,5.0,medium
house,Córdoba,Villa Carlos Paz,140.0,1178.57,4.0,medium
apartment,Capital Federal,Las Cañitas,23.0,3708.7,1.0,high
apartment,Capital Federal,Las Cañitas,64.0,3781.25,2.0,high
apartment,Capital Federal,Las Cañitas,52.0,3288.46,3.0,high
apartment,Capital Federal,Las Cañitas,40.0,3325.0,2.0,high
house,Bs.As. G.B.A. Zona Norte,Tigre,220.0,1590.91,4.0,low
apartment,Capital Federal,Las Cañitas,45.0,3644.44,2.0,high
apartment,Capital Federal,Puerto Madero,136.0,5661.76,3.0,high
apartment,Bs.As. G.B.A. Zona Oeste,Villa Madero,55.0,1545.45,3.0,low
apartment,Capital Federal,Puerto Madero,70.0,5400.0,2.0,high
apartment,Capital Federal,Palermo Soho,45.0,2733.33,2.0,medium
apartment,Capital Federal,Floresta,72.0,1319.44,2.0,medium
house,Bs.As. G.B.A. Zona Oeste,Villa Madero,200.0,600.0,3.0,low
apartment,Capital Federal,San Telmo,127.0,2795.28,3.0,low
apartment,Capital Federal,Monserrat,104.0,1875.0,4.0,low
apartment,Bs.As. G.B.A. Zona Sur,Sarandi,55.0,1763.64,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Villa Madero,31.0,1677.42,2.0,low
apartment,Capital Federal,Caballito,84.0,1785.71,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Villa Madero,57.0,964.91,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Victoria,61.0,2110.66,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Victoria,61.0,2532.79,2.0,low
house,Bs.As. G.B.A. Zona Norte,Tigre,70.0,3571.43,3.0,low
apartment,Capital Federal,Recoleta,136.0,4117.65,5.0,low
house,Bs.As. G.B.A. Zona Oeste,Moreno,280.0,140.19,3.0,low
apartment,Capital Federal,Floresta,62.0,1693.55,3.0,low
apartment,Capital Federal,Monserrat,40.0,2450.0,1.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Ciudadela,38.0,1302.63,2.0,low
apartment,Capital Federal,Villa Devoto,110.0,2890.91,4.0,medium
house,Bs.As. G.B.A. Zona Oeste,Moreno,300.0,186.95,6.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Muñiz,85.0,1294.12,4.0,low
apartment,Capital Federal,Boedo,50.0,1700.0,3.0,low
house,Buenos Aires Costa Atlántica,Reta,200.0,250.0,4.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,31.0,1548.39,1.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,27.0,2129.63,1.0,medium
house,Buenos Aires Costa Atlántica,Pinamar,260.0,1346.15,5.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,43.0,1976.74,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,70.0,1857.14,2.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,72.0,2222.22,3.0,medium
house,Misiones,Posadas,300.0,224.33,4.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,40.0,1825.0,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,43.0,1976.74,2.0,low
PH,Buenos Aires Costa Atlántica,Mar del Plata,120.0,916.67,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,82.0,2073.17,2.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,50.0,1770.0,2.0,medium
PH,Buenos Aires Costa Atlántica,Mar del Plata,66.0,833.33,2.0,low
store,Buenos Aires Costa Atlántica,Mar del Plata,135.0,1185.19,2.0,low
apartment,Buenos Aires Interior,Bahía Blanca,40.0,1875.0,1.0,medium
apartment,Buenos Aires Interior,Bahía Blanca,55.0,866.75,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,32.0,1531.25,2.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,233.0,772.53,3.0,low
apartment,Buenos Aires Costa Atlántica,Monte Hermoso,75.0,2120.0,3.0,low
apartment,Buenos Aires Costa Atlántica,Monte Hermoso,80.0,2750.0,3.0,low
house,Buenos Aires Costa Atlántica,Monte Hermoso,144.0,1145.83,4.0,low
apartment,Buenos Aires Costa Atlántica,Monte Hermoso,85.0,2588.24,3.0,low
apartment,Bs.As. G.B.A. Zona Sur,Avellaneda,65.0,1215.38,3.0,low
PH,Capital Federal,Barracas,124.0,1604.84,6.0,low
store,Buenos Aires Costa Atlántica,Centro,30.0,1166.67,1.0,low
PH,Bs.As. G.B.A. Zona Oeste,Caseros,216.0,416.67,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,San Justo,30.0,2000.0,2.0,low
store,Capital Federal,Boca,45.0,1111.11,1.0,low
PH,Bs.As. G.B.A. Zona Norte,Boulogne Sur Mer,120.0,658.33,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Vicente López,44.0,2386.36,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Martínez,90.0,3055.56,4.0,high
apartment,Bs.As. G.B.A. Zona Norte,Martínez,90.0,3055.56,3.0,high
PH,Bs.As. G.B.A. Zona Norte,Boulogne Sur Mer,130.0,807.69,4.0,low
house,Capital Federal,Capital Federal,229.0,1266.38,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Tigre,59.0,1796.61,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Maschwitz,62.0,1573.21,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Maschwitz,47.0,1621.41,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Maschwitz,67.0,1236.62,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Maschwitz,83.0,1587.71,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,45.0,2333.33,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Maschwitz,89.0,1456.79,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Maschwitz,96.0,1475.47,3.0,low
house,Capital Federal,Capital Federal,192.0,901.04,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,40.0,2250.0,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Tigre,80.0,3000.0,3.0,high
house,Bs.As. G.B.A. Zona Norte,El Talar,200.0,925.0,4.0,low
house,Bs.As. G.B.A. Zona Norte,Olivos,300.0,1326.67,6.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,70.0,1771.43,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,220.0,1659.09,4.0,medium
house,Mendoza,San Rafael,222.0,601.26,6.0,medium
apartment,Santa Fe,Rosario,45.0,1607.73,3.0,low
house,Santa Fe,Rosario,120.0,303.79,4.0,low
apartment,Santa Fe,Rosario,50.0,1121.67,2.0,low
house,Santa Fe,Rosario,165.0,678.79,3.0,low
apartment,Santa Fe,Rosario,69.0,2246.38,3.0,medium
