property_type,state_name,place_name_clean,surface_total_m2_clean,price_usd_per_m2_clean,rooms_clean,keyword_category
apartment,Buenos Aires Costa Atlántica,Mar del Plata,70.0,1714.29,3.0,low
house,Santa Fe,Rosario,140.0,1135.71,4.0,medium
apartment,Santa Fe,Rosario,77.0,1298.7,2.0,low
apartment,Santa Fe,Rosario,35.0,1281.91,1.0,low
apartment,Santa Fe,Rosario,75.0,2133.33,2.0,low
apartment,Santa Fe,Rosario,45.0,2177.78,3.0,medium
apartment,Entre Ríos,Paraná,42.0,1228.5,2.0,low
apartment,Entre Ríos,Paraná,65.0,862.83,3.0,low
apartment,Santa Fe,Rosario,43.0,1565.13,2.0,low
house,Santa Fe,Rosario,173.0,307.97,4.0,low
apartment,Santa Fe,Rosario,40.0,1400.0,1.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,110.0,3090.91,3.0,medium
